review,sentiment,insights,insights_conv,key_points,suggestions,clean_suggestions,tema,valor_tema,desc_tema
 Beds are perfect good breakfast clean rooms ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Beds are perfect"",""Good breakfast"",""Clean rooms""]}","{'sentiment': 'positive', 'key_points': ['Beds are perfect', 'Good breakfast', 'Clean rooms']}","['Beds are perfect', 'Good breakfast', 'Clean rooms']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 I would have like breakfast to be included ,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""Breakfast not included in the stay""],""suggestions"":""Consider including breakfast in future stays.""}","{'sentiment': 'negative', 'key_points': ['Breakfast not included in the stay'], 'suggestions': 'Consider including breakfast in future stays.'}",['Breakfast not included in the stay'],Consider including breakfast in future stays.,Consider including breakfast future stays.,6,0.13730545962575288,Mejorar el menú del desayuno
 Very efficient friendly staff Big room Quiet ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very efficient friendly staff"",""Big room"",""Quiet""]}","{'sentiment': 'positive', 'key_points': ['Very efficient friendly staff', 'Big room', 'Quiet']}","['Very efficient friendly staff', 'Big room', 'Quiet']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Rooms are too small You cannot reach your bed when your luggage is fully opened ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Rooms are too small"",""Difficult to reach bed with opened luggage""]}","{'sentiment': 'negative', 'key_points': ['Rooms are too small', 'Difficult to reach bed with opened luggage']}","['Rooms are too small', 'Difficult to reach bed with opened luggage']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Location was perfect Rooms were nice and clean ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Location was perfect"",""Rooms were nice and clean""]}","{'sentiment': 'positive', 'key_points': ['Location was perfect', 'Rooms were nice and clean']}","['Location was perfect', 'Rooms were nice and clean']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Drink prices,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[""Drink prices are reasonable"",""Variety of drink options available"",""Seasonal drinks attract customers""],""suggestions"":""Consider adding more premium options.""}","{'sentiment': 'neutral', 'key_points': ['Drink prices are reasonable', 'Variety of drink options available', 'Seasonal drinks attract customers'], 'suggestions': 'Consider adding more premium options.'}","['Drink prices are reasonable', 'Variety of drink options available', 'Seasonal drinks attract customers']",Consider adding more premium options.,Consider adding premium options.,-1,0.19278188887413292,-1
 Location staff in room dinning food was good ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Location staff"",""room dining"",""food was good""]}","{'sentiment': 'positive', 'key_points': ['Location staff', 'room dining', 'food was good']}","['Location staff', 'room dining', 'food was good']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 clean comfortable welcoming great location and nice staff,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""clean"",""comfortable"",""welcoming"",""great location"",""nice staff""]}","{'sentiment': 'positive', 'key_points': ['clean', 'comfortable', 'welcoming', 'great location', 'nice staff']}","['clean', 'comfortable', 'welcoming', 'great location', 'nice staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 location was perfect for what we needed the staff were very helpful and the room was lovely,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Location was perfect"",""Staff were very helpful"",""Room was lovely""]}","{'sentiment': 'positive', 'key_points': ['Location was perfect', 'Staff were very helpful', 'Room was lovely']}","['Location was perfect', 'Staff were very helpful', 'Room was lovely']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 There was an open bottle of water in the room when I got there Also had to ask twice for hot water at breakfast ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Open bottle of water in the room"",""Had to ask twice for hot water at breakfast""],""suggestions"":""Ensure that rooms are cleaned properly and restocked before guests arrive. Improve service efficiency for breakfast requests.""}","{'sentiment': 'negative', 'key_points': ['Open bottle of water in the room', 'Had to ask twice for hot water at breakfast'], 'suggestions': 'Ensure that rooms are cleaned properly and restocked before guests arrive. Improve service efficiency for breakfast requests.'}","['Open bottle of water in the room', 'Had to ask twice for hot water at breakfast']",Ensure that rooms are cleaned properly and restocked before guests arrive. Improve service efficiency for breakfast requests.,Ensure rooms cleaned properly restocked guests arrive. Improve service efficiency breakfast requests.,2,0.09930271560738577,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 The room was too small and had steep steps inside the room The bed was small Specially duvet was very small ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Room was too small"",""Had steep steps inside the room"",""Bed was small"",""Duvet was very small""],""suggestions"":""Consider offering larger room options, addressing steep stairs for better accessibility, and providing larger bedding.""}","{'sentiment': 'negative', 'key_points': ['Room was too small', 'Had steep steps inside the room', 'Bed was small', 'Duvet was very small'], 'suggestions': 'Consider offering larger room options, addressing steep stairs for better accessibility, and providing larger bedding.'}","['Room was too small', 'Had steep steps inside the room', 'Bed was small', 'Duvet was very small']","Consider offering larger room options, addressing steep stairs for better accessibility, and providing larger bedding.","Consider offering larger room options, addressing steep stairs better accessibility, providing larger bedding.",1,0.09237656750232028,Cuartos con más capacidad de hospedaje
 now swimming pool,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Great size for families"",""Clean and well-maintained"",""Friendly staff"",""Good amenities""],""suggestions"":""Consider adding more shaded areas and lounge chairs.""}","{'sentiment': 'positive', 'key_points': ['Great size for families', 'Clean and well-maintained', 'Friendly staff', 'Good amenities'], 'suggestions': 'Consider adding more shaded areas and lounge chairs.'}","['Great size for families', 'Clean and well-maintained', 'Friendly staff', 'Good amenities']",Consider adding more shaded areas and lounge chairs.,Consider adding shaded areas lounge chairs.,-1,0.15462718914194765,-1
 Amazing staff who couldn t do enough to help you They seemed interested in your plans and stay Rooms were beautiful and the attention to detail was noted Overall Fantastic Will definitely be returning ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Amazing staff"",""Helpfulness of staff"",""Interest in guests' plans"",""Beautiful rooms"",""Attention to detail"",""Overall fantastic experience"",""Intention to return""]}","{'sentiment': 'positive', 'key_points': ['Amazing staff', 'Helpfulness of staff', ""Interest in guests' plans"", 'Beautiful rooms', 'Attention to detail', 'Overall fantastic experience', 'Intention to return']}","['Amazing staff', 'Helpfulness of staff', ""Interest in guests' plans"", 'Beautiful rooms', 'Attention to detail', 'Overall fantastic experience', 'Intention to return']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 the convenience of the location for our function also a room for 3 adults,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Convenience of the location"",""Accommodates 3 adults""]}","{'sentiment': 'positive', 'key_points': ['Convenience of the location', 'Accommodates 3 adults']}","['Convenience of the location', 'Accommodates 3 adults']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Air con very poor which made the rooms very stuffy,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Air conditioning is poor"",""Rooms are stuffy""]}","{'sentiment': 'negative', 'key_points': ['Air conditioning is poor', 'Rooms are stuffy']}","['Air conditioning is poor', 'Rooms are stuffy']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The air condition did not work very well ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""The air condition did not work very well""]}","{'sentiment': 'negative', 'key_points': ['The air condition did not work very well']}",['The air condition did not work very well'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 Spacious room fresh fruits for free nice staff,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""spacious room"",""fresh fruits for free"",""nice staff""]}","{'sentiment': 'positive', 'key_points': ['spacious room', 'fresh fruits for free', 'nice staff']}","['spacious room', 'fresh fruits for free', 'nice staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Staff were nice and helpful,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Staff were nice"",""Staff were helpful""]}","{'sentiment': 'positive', 'key_points': ['Staff were nice', 'Staff were helpful']}","['Staff were nice', 'Staff were helpful']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Good services,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Good services""]}","{'sentiment': 'positive', 'key_points': ['Good services']}",['Good services'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 i booked a junior suite and was upgraded to penthouse i stayed only one night 2 nights later i was back in London and booked the penthouse suite this time for the asking price the view alone was worth it london eye room i was honoured to be upgraded and may now always book their top suite rooms appart from that the staff were splendid the food super and bar very adiquate i grew up in london and never seen a view like this and a sunset like that i also own one of the most renowned sunset bars in the world and this came very close thank you for the amazing experiance ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""upgraded to penthouse suite"",""stayed only one night"",""booked penthouse again for asking price"",""amazing view of London Eye"",""honored to be upgraded"",""splendid staff"",""great food"",""adequate bar"",""incredible sunset"",""owner of renowned sunset bar""]}","{'sentiment': 'positive', 'key_points': ['upgraded to penthouse suite', 'stayed only one night', 'booked penthouse again for asking price', 'amazing view of London Eye', 'honored to be upgraded', 'splendid staff', 'great food', 'adequate bar', 'incredible sunset', 'owner of renowned sunset bar']}","['upgraded to penthouse suite', 'stayed only one night', 'booked penthouse again for asking price', 'amazing view of London Eye', 'honored to be upgraded', 'splendid staff', 'great food', 'adequate bar', 'incredible sunset', 'owner of renowned sunset bar']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Value for money and location in Canary wharf,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Great value for money"",""Excellent location in Canary Wharf""],""suggestions"":""Continue to enhance customer service and maintain competitive pricing.""}","{'sentiment': 'positive', 'key_points': ['Great value for money', 'Excellent location in Canary Wharf'], 'suggestions': 'Continue to enhance customer service and maintain competitive pricing.'}","['Great value for money', 'Excellent location in Canary Wharf']",Continue to enhance customer service and maintain competitive pricing.,Continue enhance customer service maintain competitive pricing.,5,0.14734914395737292,Mejorar la calidad de atención del personal
 All is fine Thanks a lot ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""All is fine""],""suggestions"":""Continue providing good service.""}","{'sentiment': 'positive', 'key_points': ['All is fine'], 'suggestions': 'Continue providing good service.'}",['All is fine'],Continue providing good service.,Continue providing good service.,-1,0.0922133462837941,-1
 The staff was amazing and very attentive They made us feel welcome 24 7 In addition we got a room upgrade which gave us more space with a cot bed all free of charge We also used the pool which was lovely The quality of food in the restaurant was great too We can t fault anything and will come back here for our next trip to London ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Amazing and attentive staff"",""Felt welcome 24/7"",""Free room upgrade"",""More space with a cot bed"",""Lovely pool"",""Great quality of food in the restaurant"",""No faults with the stay"",""Will come back for the next trip to London""]}","{'sentiment': 'positive', 'key_points': ['Amazing and attentive staff', 'Felt welcome 24/7', 'Free room upgrade', 'More space with a cot bed', 'Lovely pool', 'Great quality of food in the restaurant', 'No faults with the stay', 'Will come back for the next trip to London']}","['Amazing and attentive staff', 'Felt welcome 24/7', 'Free room upgrade', 'More space with a cot bed', 'Lovely pool', 'Great quality of food in the restaurant', 'No faults with the stay', 'Will come back for the next trip to London']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Nothing in particular,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[],""suggestions"":""Consider asking for specific feedback or insights.""}","{'sentiment': 'neutral', 'key_points': [], 'suggestions': 'Consider asking for specific feedback or insights.'}",[],Consider asking for specific feedback or insights.,Consider asking specific feedback insights.,-1,0.26153775907408866,-1
 Could not walk around bed in the room Smelled of fried onions Moved our hotel Air con didn t work Shower leaked,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Could not walk around bed in the room"",""Smelled of fried onions"",""Air conditioning didn't work"",""Shower leaked""],""suggestions"":""Improvement needed in room space, cleanliness, air conditioning maintenance, and plumbing.""}","{'sentiment': 'negative', 'key_points': ['Could not walk around bed in the room', 'Smelled of fried onions', ""Air conditioning didn't work"", 'Shower leaked'], 'suggestions': 'Improvement needed in room space, cleanliness, air conditioning maintenance, and plumbing.'}","['Could not walk around bed in the room', 'Smelled of fried onions', ""Air conditioning didn't work"", 'Shower leaked']","Improvement needed in room space, cleanliness, air conditioning maintenance, and plumbing.","Improvement needed room space, cleanliness, air conditioning maintenance, plumbing.",2,0.06532860367087309,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Excellent staff perfect location for visit to Wembley had a fantastic night Thank you Hilton ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Excellent staff"",""Perfect location for visit to Wembley"",""Fantastic night"",""Thank you Hilton""]}","{'sentiment': 'positive', 'key_points': ['Excellent staff', 'Perfect location for visit to Wembley', 'Fantastic night', 'Thank you Hilton']}","['Excellent staff', 'Perfect location for visit to Wembley', 'Fantastic night', 'Thank you Hilton']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The staff were very welcoming and friendly The hotel was in a great location with the tube only a couple of streets away which made it a lot easier to travel ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""staff were very welcoming and friendly"",""great location"",""tube only a couple of streets away"",""easier to travel""]}","{'sentiment': 'positive', 'key_points': ['staff were very welcoming and friendly', 'great location', 'tube only a couple of streets away', 'easier to travel']}","['staff were very welcoming and friendly', 'great location', 'tube only a couple of streets away', 'easier to travel']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Lighting,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Bright and efficient lighting"",""Easy to install"",""Modern design"",""Adjustable settings""],""suggestions"":""Add more color temperature options for better ambiance.""}","{'sentiment': 'positive', 'key_points': ['Bright and efficient lighting', 'Easy to install', 'Modern design', 'Adjustable settings'], 'suggestions': 'Add more color temperature options for better ambiance.'}","['Bright and efficient lighting', 'Easy to install', 'Modern design', 'Adjustable settings']",Add more color temperature options for better ambiance.,Add color temperature options better ambiance.,3,0.16449998008064537,Más colores en la decoración de los cuartos
 Rooms are dated noise from DLR,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Rooms are dated"",""Noise from DLR""]}","{'sentiment': 'negative', 'key_points': ['Rooms are dated', 'Noise from DLR']}","['Rooms are dated', 'Noise from DLR']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Good hotel but very tired,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Good hotel"",""Very tired""]}","{'sentiment': 'neutral', 'key_points': ['Good hotel', 'Very tired']}","['Good hotel', 'Very tired']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Very nice hotel Great location Quite room and fast service check in check out concierge I would like to return ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very nice hotel"",""Great location"",""Quiet room"",""Fast service"",""Check-in and check-out"",""Concierge services""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['Very nice hotel', 'Great location', 'Quiet room', 'Fast service', 'Check-in and check-out', 'Concierge services'], 'suggestions': 'None'}","['Very nice hotel', 'Great location', 'Quiet room', 'Fast service', 'Check-in and check-out', 'Concierge services']",None,None,-1,0.0,-1
 The breakfast was great and staff were very helpful ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The breakfast was great"",""Staff were very helpful""]}","{'sentiment': 'positive', 'key_points': ['The breakfast was great', 'Staff were very helpful']}","['The breakfast was great', 'Staff were very helpful']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 thank you for accommodating our dog Lucy She was very happy,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""accommodated dog"",""Lucy"",""very happy""]}","{'sentiment': 'positive', 'key_points': ['accommodated dog', 'Lucy', 'very happy']}","['accommodated dog', 'Lucy', 'very happy']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The walls in the corridors rooms looked tired Requested anything special the Hotel could do for my sons 18th birthday as it seemed very expensive for 1 night Toilet in my sons room didn t flush Got nothing even sent the card to me and not my son,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""The walls in the corridors look tired"",""Requested special treatment for son's 18th birthday but received none"",""Toilet in son's room did not flush"",""Card for son's birthday was sent to me instead of him""],""suggestions"":""Improve room maintenance, especially for bathrooms. Address special requests for guests celebrating occasions more effectively.""}","{'sentiment': 'negative', 'key_points': ['The walls in the corridors look tired', ""Requested special treatment for son's 18th birthday but received none"", ""Toilet in son's room did not flush"", ""Card for son's birthday was sent to me instead of him""], 'suggestions': 'Improve room maintenance, especially for bathrooms. Address special requests for guests celebrating occasions more effectively.'}","['The walls in the corridors look tired', ""Requested special treatment for son's 18th birthday but received none"", ""Toilet in son's room did not flush"", ""Card for son's birthday was sent to me instead of him""]","Improve room maintenance, especially for bathrooms. Address special requests for guests celebrating occasions more effectively.","Improve room maintenance, especially bathrooms. Address special requests guests celebrating occasions effectively.",2,0.10420552149831497,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Long queue at the check in too little staff at peak time,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Long queue at check-in"",""Too little staff at peak time""],""suggestions"":""Increase staff during peak times to reduce check-in wait times.""}","{'sentiment': 'negative', 'key_points': ['Long queue at check-in', 'Too little staff at peak time'], 'suggestions': 'Increase staff during peak times to reduce check-in wait times.'}","['Long queue at check-in', 'Too little staff at peak time']",Increase staff during peak times to reduce check-in wait times.,Increase staff peak times reduce check-in wait times.,5,0.04539017813190843,Mejorar la calidad de atención del personal
 They left us alone,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""They left us alone""]}","{'sentiment': 'negative', 'key_points': ['They left us alone']}",['They left us alone'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 Very near the tube so travel good ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very near the tube"",""Good travel convenience""]}","{'sentiment': 'positive', 'key_points': ['Very near the tube', 'Good travel convenience']}","['Very near the tube', 'Good travel convenience']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Old floor and a bit small room No chair in the room Wi Fi works good but no password ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Old floor"",""Small room"",""No chair"",""WiFi works good"",""No password for WiFi""],""suggestions"":""Consider providing chairs and updating the flooring for a better guest experience.""}","{'sentiment': 'neutral', 'key_points': ['Old floor', 'Small room', 'No chair', 'WiFi works good', 'No password for WiFi'], 'suggestions': 'Consider providing chairs and updating the flooring for a better guest experience.'}","['Old floor', 'Small room', 'No chair', 'WiFi works good', 'No password for WiFi']",Consider providing chairs and updating the flooring for a better guest experience.,Consider providing chairs updating flooring better guest experience.,-1,0.13170861247733742,-1
 The hotel is absolutely second to none if you like modern high tec modern hotels We did even though we are getting on Fabulous alround You can lay on the fabulous comfortable bed and control everything via a tablet Spotlessly clean and attention to detail Recommended ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""modern high-tech hotel"",""fabulous comfortable bed"",""control everything via a tablet"",""spotlessly clean"",""attention to detail""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['modern high-tech hotel', 'fabulous comfortable bed', 'control everything via a tablet', 'spotlessly clean', 'attention to detail'], 'suggestions': 'None'}","['modern high-tech hotel', 'fabulous comfortable bed', 'control everything via a tablet', 'spotlessly clean', 'attention to detail']",None,None,-1,0.0,-1
 We had an excellent stay at Park Plaza County Hall Reception and concierge staff were very polite and helpful We will definately try to stay here on our next break in London ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""excellent stay"",""reception and concierge staff were polite"",""helpful staff"",""definitely try to stay here again""]}","{'sentiment': 'positive', 'key_points': ['excellent stay', 'reception and concierge staff were polite', 'helpful staff', 'definitely try to stay here again']}","['excellent stay', 'reception and concierge staff were polite', 'helpful staff', 'definitely try to stay here again']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Bed duvet not soft,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""Bed duvet not soft""]}","{'sentiment': 'negative', 'key_points': ['Bed duvet not soft']}",['Bed duvet not soft'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 The lack of a sitting room or similar where we could sit with our family and chat It took us a while to realise that we could use the restaurant for this as it doubled up as a bar and meeting area ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Lack of a sitting room for family interaction"",""Restaurant serves as a bar and meeting area"",""Took time to realize the restaurant could be used for chatting with family""],""suggestions"":""Consider adding a designated family sitting area for relaxation and conversation.""}","{'sentiment': 'neutral', 'key_points': ['Lack of a sitting room for family interaction', 'Restaurant serves as a bar and meeting area', 'Took time to realize the restaurant could be used for chatting with family'], 'suggestions': 'Consider adding a designated family sitting area for relaxation and conversation.'}","['Lack of a sitting room for family interaction', 'Restaurant serves as a bar and meeting area', 'Took time to realize the restaurant could be used for chatting with family']",Consider adding a designated family sitting area for relaxation and conversation.,Consider adding designated family sitting area relaxation conversation.,-1,0.13960966818080311,-1
 Lack of milk and biscuits in the room,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Lack of milk in the room"",""No biscuits available""],""suggestions"":""Ensure that essential items like milk and biscuits are stocked in the room for guests.""}","{'sentiment': 'negative', 'key_points': ['Lack of milk in the room', 'No biscuits available'], 'suggestions': 'Ensure that essential items like milk and biscuits are stocked in the room for guests.'}","['Lack of milk in the room', 'No biscuits available']",Ensure that essential items like milk and biscuits are stocked in the room for guests.,Ensure essential items like milk biscuits stocked room guests.,2,0.07592253110189996,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Large well maintained bedrooms,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Large bedrooms"",""Well maintained""],""suggestions"":""Consider adding more amenities or decor to enhance the overall experience.""}","{'sentiment': 'positive', 'key_points': ['Large bedrooms', 'Well maintained'], 'suggestions': 'Consider adding more amenities or decor to enhance the overall experience.'}","['Large bedrooms', 'Well maintained']",Consider adding more amenities or decor to enhance the overall experience.,Consider adding amenities decor enhance overall experience.,7,0.23602838903496068,Mejorar algunos amenities en las áreas comunes
 From check in too check out Got a upgrade too which was nice,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Got an upgrade"",""Nice experience"",""Check-in to check-out""]}","{'sentiment': 'positive', 'key_points': ['Got an upgrade', 'Nice experience', 'Check-in to check-out']}","['Got an upgrade', 'Nice experience', 'Check-in to check-out']",No suggestion,No suggestion,-1,0.13495818573065688,-1
